model_id,field,python_value,metafor_value,absolute_difference,tolerance,passed
QOR15_SHAM_24H,se,2.5742950802731315,2.5742950823769,2.1037687147895667e-09,1e-05,True
QOR15_SHAM_24H,ci_low,-0.7075324695161553,-0.707532476343194,6.827038712131639e-09,1e-05,True
QOR15_SHAM_24H,ci_high,15.677579264334351,15.6775792708976,6.563247723079257e-09,1e-05,True
QOR15_SHAM_24H,p,0.06211745082763947,0.0621174509500466,1.2240713304079165e-10,1e-05,True
QOR15_SHAM_24H,tau2,20.986099085489172,20.9860991285689,4.3079726452788236e-08,1e-05,True
QOR15_SHAM_24H,I2,80.07879650458703,80.0787965373342,3.274716675605305e-08,1e-05,True
QOR15_SHAM_24H_WITHOUT_HOU_2023,k,3,3,0.0,0,True
QOR15_SHAM_24H_WITHOUT_HOU_2023,N,255,255,0.0,0,True
QOR15_SHAM_24H_WITHOUT_HOU_2023,effect,8.187380957528802,8.18738095601257,1.516232472908996e-09,1e-05,True
QOR15_SHAM_24H_WITHOUT_HOU_2023,se,3.5092724788258742,3.50927250032061,2.1494735769067574e-08,1e-05,True
QOR15_SHAM_24H_WITHOUT_HOU_2023,ci_low,-6.911799852926006,-6.91179994692663,9.400062417341815e-08,1e-05,True
QOR15_SHAM_24H_WITHOUT_HOU_2023,ci_high,23.28656176798361,23.2865618589518,9.096818942566642e-08,1e-05,True
QOR15_SHAM_24H_WITHOUT_HOU_2023,p,0.14483974841228264,0.144839749862282,1.4499993705729963e-09,1e-05,True
QOR15_SHAM_24H_WITHOUT_HOU_2023,tau2,30.879715273811584,30.8797157247707,4.509591171597549e-07,1e-05,True
QOR15_SHAM_24H_WITHOUT_HOU_2023,I2,84.25844872525548,84.2584489189533,1.9369782933154056e-07,1e-05,True
QOR15_SHAM_24H_WITHOUT_WU_2025,k,3,3,0.0,0,True
QOR15_SHAM_24H_WITHOUT_WU_2025,N,227,227,0.0,0,True
QOR15_SHAM_24H_WITHOUT_WU_2025,effect,4.908483981755616,4.90848398175562,4.440892098500626e-15,1e-05,True
QOR15_SHAM_24H_WITHOUT_WU_2025,se,1.3268966373852995,1.3268966373853,4.440892098500626e-16,1e-05,True
QOR15_SHAM_24H_WITHOUT_WU_2025,ci_low,-0.800691457185625,-0.800691457185627,1.9984014443252818e-15,1e-05,True
QOR15_SHAM_24H_WITHOUT_WU_2025,ci_high,10.617659420696857,10.6176594206969,4.263256414560601e-14,1e-05,True
QOR15_SHAM_24H_WITHOUT_WU_2025,p,0.06593178403246744,0.0659317840324674,4.163336342344337e-17,1e-05,True
QOR15_SHAM_24H_WITHOUT_WU_2025,tau2,0.0,0,0.0,1e-05,True
QOR15_SHAM_24H_WITHOUT_WU_2025,I2,0.0,0,0.0,1e-05,True
QOR15_SHAM_24H_WITHOUT_XING_2022,k,3,3,0.0,0,True
QOR15_SHAM_24H_WITHOUT_XING_2022,N,269,269,0.0,0,True
QOR15_SHAM_24H_WITHOUT_XING_2022,effect,8.210972784796011,8.2109727844012,3.9481129476826027e-10,1e-05,True
QOR15_SHAM_24H_WITHOUT_XING_2022,se,3.3442652741775407,3.34426527404177,1.3577050594903994e-10,1e-05,True
QOR15_SHAM_24H_WITHOUT_XING_2022,ci_low,-6.178239326150317,-6.17823932596094,1.893774026484607e-10,1e-05,True
QOR15_SHAM_24H_WITHOUT_XING_2022,ci_high,22.600184895742338,22.6001848947633,9.79039072035448e-10,1e-05,True
QOR15_SHAM_24H_WITHOUT_XING_2022,p,0.13346770846596556,0.133467708467581,1.615430011980834e-12,1e-05,True
QOR15_SHAM_24H_WITHOUT_XING_2022,tau2,29.026944730927323,29.0269438904251,8.40502224264128e-07,1e-05,True
QOR15_SHAM_24H_WITHOUT_XING_2022,I2,86.79685566576269,86.7968553339302,3.3183249570356566e-07,1e-05,True
QOR15_SHAM_24H_WITHOUT_ZHOU_2025,k,3,3,0.0,0,True
QOR15_SHAM_24H_WITHOUT_ZHOU_2025,N,230,230,0.0,0,True
QOR15_SHAM_24H_WITHOUT_ZHOU_2025,effect,8.544597823845443,8.54459782541833,1.5728875979448276e-09,1e-05,True
QOR15_SHAM_24H_WITHOUT_ZHOU_2025,se,3.3134347647110327,3.3134347455209,1.9190132594104625e-08,1e-05,True
QOR15_SHAM_24H_WITHOUT_ZHOU_2025,ci_low,-5.711961311385249,-5.71196122724388,8.414136853929222e-08,1e-05,True
QOR15_SHAM_24H_WITHOUT_ZHOU_2025,ci_high,22.801156959076135,22.8011568780805,8.099563331143145e-08,1e-05,True
QOR15_SHAM_24H_WITHOUT_ZHOU_2025,p,0.12319439179762105,0.123194390586181,1.2114400593787877e-09,1e-05,True
QOR15_SHAM_24H_WITHOUT_ZHOU_2025,tau2,27.029050258181556,27.029049878515,3.7966655597188037e-07,1e-05,True
QOR15_SHAM_24H_WITHOUT_ZHOU_2025,I2,82.85482345574493,82.8548232562043,1.9954063645855058e-07,1e-05,True
QOR15_WU_DENOMINATOR_STRESS,k,4,4,0.0,0,True
QOR15_WU_DENOMINATOR_STRESS,N,324,324,0.0,0,True
QOR15_WU_DENOMINATOR_STRESS,effect,7.475845294355261,7.47584529572571,1.3704495316346765e-09,1e-05,True
QOR15_WU_DENOMINATOR_STRESS,se,2.5684253076199903,2.56842528284836,2.477163052461151e-08,1e-05,True
QOR15_WU_DENOMINATOR_STRESS,ci_low,-0.6980303362771485,-0.698030256072329,8.02048194525895e-08,1e-05,True
QOR15_WU_DENOMINATOR_STRESS,ci_high,15.649720924987669,15.6497208475238,7.7463868208838e-08,1e-05,True
QOR15_WU_DENOMINATOR_STRESS,p,0.061962805513625895,0.0619628040755867,1.438039194667784e-09,1e-05,True
QOR15_WU_DENOMINATOR_STRESS,tau2,20.831930399079457,20.8319298929706,5.061088579338957e-07,1e-05,True
QOR15_WU_DENOMINATOR_STRESS,I2,79.841659713275,79.8416593222552,3.9101981030853494e-07,1e-05,True
