model_id,body,role,note,k,N,status,effect,ci_low,ci_high,tau2,I2,hk_scale,pi_low,pi_high,reaches10mg,reaches8mg,relative_reduction_descriptive_percent,studies,contrast_ids
E2_TEAS_sham_LOO_Lee_2011,TEAS vs sham,LEAVE-ONE-OUT,without Lee 2011,6,547,REML + safeguarded Hartung-Knapp,-6.6725494911613366,-14.529128845001669,1.1840298626789947,44.774825724082184,98.60005742763121,1.1384963708457203,-25.582679207651758,12.237580225329083,False,False,21.92599105813192,Szmit 2021;Chen 1998;Chen 2020;He 2026 (hepatectomy/JIS);Zhang 2025;Gu 2019,V33-OD-0350;V33-OD-0013;V33-OD-0014;V33-OD-0214;E2.1-ZHANG2025-POD1;E2.1-GU2019-FIG4-T4
E2_TEAS_sham_LOO_Zhang_2025,TEAS vs sham,LEAVE-ONE-OUT,without Zhang 2025,6,488,REML + safeguarded Hartung-Knapp,-7.107740520186962,-14.693488377133974,0.4780073367600508,40.98339734589773,97.48232198235226,1.1250849854029457,-25.22837494458922,11.012893904215296,False,False,22.685449586883554,Szmit 2021;Chen 1998;Chen 2020;He 2026 (hepatectomy/JIS);Lee 2011;Gu 2019,V33-OD-0350;V33-OD-0013;V33-OD-0014;V33-OD-0214;V33-OD-0184+V33-OD-0185;E2.1-GU2019-FIG4-T4
E2_TEAS_sham_LOO_Gu_2019,TEAS vs sham,LEAVE-ONE-OUT,without Gu 2019,6,464,REML + safeguarded Hartung-Knapp,-7.111358792797805,-14.682229425962465,0.45951184036685433,40.8345063790709,97.9599205106873,1.1257151901897846,-25.19859319339123,10.975875607795619,False,False,23.019791476886354,Szmit 2021;Chen 1998;Chen 2020;He 2026 (hepatectomy/JIS);Lee 2011;Zhang 2025,V33-OD-0350;V33-OD-0013;V33-OD-0014;V33-OD-0214;V33-OD-0184+V33-OD-0185;E2.1-ZHANG2025-POD1
E2_opioid24_TEAS_usual,TEAS vs usual care,E2 POST-HOC SENSITIVITY (main),,1,47,SINGLE STUDY - NOT POOLED,-8.0,-10.919946920043666,-5.080053079956334,0.0,,,,,False,True,51.61290322580645,Szmit 2021,V33-OD-0351
E2_opioid24_EA_sham,EA vs sham,E2 POST-HOC SENSITIVITY (main),Lin 2002 only; DP1 boundary; DP4 rescue,1,75,SINGLE STUDY - NOT POOLED,-11.8,-18.523748664973265,-5.076251335026737,0.0,,,,,True,True,39.0728476821192,Lin 2002,V33-OD-0006+V33-OD-0007
E2_opioid24_EA_usual,EA vs usual care,E2 POST-HOC SENSITIVITY (main),,4,414,REML + safeguarded Hartung-Knapp,-8.142560447928398,-23.05906439461573,6.7739434987589355,76.62318582888653,90.43200364413696,0.9842468411235538,,,False,True,20.473406638761517,El-Rakshy 2009;Seevaunnamtum 2016;Yang 2024;Lin 2002,V33-OD-0252;V33-OD-0003;V33-OD-0052;V33-OD-0004+V33-OD-0005
E2_EA_usual_leaveout_ElRakshy,EA vs usual care,SENSITIVITY,existing El-Rakshy diagnostic,3,319,REML + safeguarded Hartung-Knapp,-10.353170435760076,-35.84656531122102,15.140224439700868,94.76017375039895,91.86363831867975,0.9544526983675596,,,True,True,25.371272102009662,Seevaunnamtum 2016;Yang 2024;Lin 2002,V33-OD-0003;V33-OD-0052;V33-OD-0004+V33-OD-0005
E2_EA_usual_excl_unquantified_rescue,EA vs usual care,SENSITIVITY,known unquantified rescue removed (= E1 body),2,159,REML + safeguarded Hartung-Knapp,-6.831992733060185,-76.39065081844696,62.726665352326584,43.51514653619667,72.45182707963527,1.0000000097080881,,,False,False,19.091432723935185,El-Rakshy 2009;Seevaunnamtum 2016,V33-OD-0252;V33-OD-0003
E2_EA_usual_LOO_El-Rakshy,EA vs usual care,LEAVE-ONE-OUT,without El-Rakshy 2009,3,319,REML + safeguarded Hartung-Knapp,-10.353170435760076,-35.84656531122102,15.140224439700868,94.76017375039895,91.86363831867975,0.9544526983675596,,,True,True,25.371272102009662,Seevaunnamtum 2016;Yang 2024;Lin 2002,V33-OD-0003;V33-OD-0052;V33-OD-0004+V33-OD-0005
E2_EA_usual_LOO_Seevaunnamtum,EA vs usual care,LEAVE-ONE-OUT,without Seevaunnamtum 2016,3,350,REML + safeguarded Hartung-Knapp,-6.925609681673061,-33.64252216762859,19.791302804282473,105.09883122364815,93.53649850921576,1.0138044699133575,,,False,False,16.940427281108214,El-Rakshy 2009;Yang 2024;Lin 2002,V33-OD-0252;V33-OD-0052;V33-OD-0004+V33-OD-0005
E2_EA_usual_LOO_Yang,EA vs usual care,LEAVE-ONE-OUT,without Yang 2024,3,234,REML + safeguarded Hartung-Knapp,-11.264413097600217,-34.370331853757776,11.841505658557343,70.98974632471446,82.18626633948499,0.9799457046816085,,,True,True,31.021496758765636,El-Rakshy 2009;Seevaunnamtum 2016;Lin 2002,V33-OD-0252;V33-OD-0003;V33-OD-0004+V33-OD-0005
E2_EA_usual_LOO_Lin,EA vs usual care,LEAVE-ONE-OUT,without Lin 2002,3,339,REML + safeguarded Hartung-Knapp,-3.9358338798840333,-19.77322298046189,11.901555220693826,28.471276745585875,77.15261151292916,1.0715956185128377,,,False,False,9.837083269964292,El-Rakshy 2009;Seevaunnamtum 2016;Yang 2024,V33-OD-0252;V33-OD-0003;V33-OD-0052
