result_id,study,trial_id,instrument,modality,comparator,window,population,comparison,n_i,mean_i,sd_i,n_c,mean_c,sd_c,yi,vi,source_location,source_pdf,source_pdf_sha256,source_text,source_text_sha256,source_excerpt,denominator_basis,canonical_link
V33-OD-0008,Yao 2015,Yao_2015,QoR-40,TEAS,sham,24 h,gynecological laparoscopy,Preoperative TEAS vs no-current electrodes,35,176.5,10.2,36,164.8,14.7,11.699999999999989,8.975071428571429,"Table 2, PDF p4",retrieved_pdfs/039_yao_2015.pdf,769574c60b55724c5f5d1bb988ebb6cbd252be9b95734e3b11bf61bf5ae9272f,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yao_2015.txt,8a196fed942d9398e2dae6aa32a56cd978655acfc586f73b184f49271205bf77,"29 Physical independence 20.6 (2.4) 19.7 (3.0) 0.152 Pain 31.7 (2.4) 29.2 (3.6) 0.001 Global QoR-40 176.5 (10.2) 164.8 (14.7) <0.001 Values are mean (SD). TEAS: transcutaneous electric acupoint stimulation; C: control. undergoing gynecological laparoscopic surgery. In addition, TEAS reduces the incidence of gen",Reported analyzed arms,Existing v38 exact global result
V33-OD-0009,Yu 2020,Yu_2020,QoR-40,TEAS,sham,POD1 (~24 h),gynecological laparoscopy,Preoperative TEAS vs no-current electrodes,30,175.33,9.66,30,166.07,8.44,9.26000000000002,5.4849733333333335,"Abstract, PDF p1; Figure 4, p5",TEAS EA Verification/Source PDFs/s13063-019-3892-4.pdf,12fbd503870f7f12216ff5f2544b159c66fecd557d4838bcabceec1aa151fb69,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yu_2020.txt,a1018b46eec1d8df75bd7c11d0a7ce0f5ec19a70194a7812a651c55f003871a1,"nd MMSE scores of T1 and T2 were higher in the TEAS group (P < 0.05) (QoR-40: T1, 166.07 ± 8.44 vs. 175.33 ± 9.66; T2, 187.73 ± 5.47 vs. 191.40 ± 5.74), (MMSE: T1, 24.60 ± 2.35 vs. 26.10 ± 2.78; T2, 26.53 ± 2.94 vs. 27.83 ± 2.73). VAS scores of T1 and T2 were lower (P < 0.05) in the TEAS group (T1, 4.73 ± 1.53 v",Reported analyzed arms,Existing v38 exact global result
V33-OD-0381,Liang 2021,Liang_2021,QoR-40,TEAS,usual care,24 h (T11),TURP under general anesthesia,TEAS vs no stimulation; dummy electrodes not documented,35,191.7,4.4,35,189.1,4.3,2.5999999999999943,1.0814285714285714,"Table 4, PDF p6",retrieved_pdfs/014_liang_2021.pdf,cf2cc8a627b115ade55a85190c39352aa1a8e63ff1974e4a33dc7b65f961a5a3,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Liang_2021.txt,774810820c5e5ba80f1259fa1349bd6065859536d95dd2e001d02e8b80c21ef8,.6%) 7 (20%) Extra analgesia 3.8 (1.9)∗ 5.0 (2.9) T0 T11 T12 T0 T11 T12 QoR-40 (scores) 199.0 (1.5) 191.7 (4.4)∗ 195.3 (1.9)∗ 198.7 (1.8) 189.1 (4.3) 193.3 (3.0) Data is presented as mean standard deviation and numbers (proportion). TEAS: transcutaneous electrical acupoint stimulation; MMSE: minimum mental sta,Reported analyzed arms,Existing v38 exact global result
AUDIT-0120,Pan 2023,Pan_2023,QoR-40,TEAS,usual care,24 h,laparoscopic myomectomy,Perioperative TEAS vs no TEAS,52,182.7,6.9,53,176.4,7.1,6.299999999999983,1.8667089985486212,"Table 10, PDF p8",TEAS EA Verification/Source PDFs/getfile.php-4.pdf,7f51a98abb60112923a7996495bc8d143af74aa710175a70c29894b62a64479d,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Pan_2023.txt,afaa51e8883649e5a3366e84e0d6a016c8ca737b38ad94552dd5bc944f8a7d91,20.4±3.1 0.37 Psychological support 32.5±2.3 32.0±1.9 0.19 Pain 32.9±1.3 32.0±1.5 0.00* Total score 182.7±6.9 176.4±7.1 0.00* Notes: *Represents statistically significant differences compared to group. https://doi.org/10.2147/JPR.S399249 DovePress Journal of Pain Research 2023:16 816 Pan et al Dovepress Powe,Reported analyzed arms,Existing v38 exact global result
QOR24-HOU2023,Hou 2023,Hou_2023,QoR-15,TEAS,sham,POD1 (D2),open living-donor nephrectomy,TEAS vs no-current electrodes; TAP block in both arms,36,104.5,7,36,99.1,10,5.400000000000006,4.138888888888889,"Table 4, PDF p7",retrieved_pdfs/007_hou_2023.pdf,e942cff2967fe015df636ad7e2c2070c665cdc8ac23b7dafab141d6d16cddbe6,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Hou_2023.txt,bbe80fd736c7d0e2bd0002b2dd8f8bbb61efdef209046e6fd05b82ae52b8f97f,"0.0 (20.0, 40.0) 20.0 (20.0, 30.0) 10.0 (0.0, 10.0) 0.010 QoR-15 [scores; mean (SD)] D2 99.1 ± 10.0 104.5 ± 7.0 −5.4 (−9.5, −1.4) 0.009 D3 100.9 ± 10.7 108.5 ± 7.4 −7.6 (−11.9, −3.2) 0.001 D4 112.4 ± 11.6 114.3 ± 6.4 −1.9 (−6.3, 2.5) 0.402 Notes: Values are presented as means (SD), n (%), or median (IQR). Abbr",Reported analyzed arms,"New additive result, not inserted into frozen v38 core"
QOR24-WU2025,Wu 2025,Wu_2025,QoR-15,TEAS,sham,24 h,ambulatory thoracoscopic wedge resection,PACU TEAS vs no-current electrodes; paravertebral block in both arms,50,130.8,9,50,115.9,12.2,14.900000000000006,4.5968,"Table 2, PDF p6; flowchart p4",TEAS EA Verification/Source PDFs/103940.pdf,2fc3db1859c4af6dc85f9a357a2468eb54b002d2c7f87658c9113c207a8beb53,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Wu_2025.txt,aebc2703278c084d7aa54d27cd5ed11fb08e4efb39fa2dd5d2055572dd10bb0d,0.298 12 h–24 h 2 (4.0%) 4 (8.0%) 0.674 QoR-15 Score at 24 h After Surgery Total score of all items 130.8 (9.0) 115.9 (12.2) <0.001 Sleep quality 5.9 (2.1) 4.3 (2.2) <0.001 Postoperative activity evaluation 15.3 (2.0) 13.6 (2.6) <0.001 Gastroenteric function 10.8 (3.1) 10.7 (2.8) 0.785 Psychological assessment,Reported ITT 50/50; 48/49 completed; imputation not described,"New additive result, not inserted into frozen v38 core"
QOR24-XING2022,Xing 2022,Xing_2022,QoR-15,TEAS,sham,POD1 (~24 h),laparoscopic gastric cancer surgery in older adults,NTG vs NG: TEAS+TAP block vs sham+TAP block; G arm excluded,29,90.86,12.36,29,85.97,11.07,4.890000000000001,9.493603448275863,"Results, PDF p5; Figure 3, p7",TEAS EA Verification/Source PDFs/s40122-022-00429-2.pdf,ef7826ca61ea657ea56689464a863c5340af1703488c259420346131727062c3,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Xing_2022.txt,b7777b307e38b0d85457e7ce3439bbfc8aac27ba8adc43e57eace188c2857533," in Fig. 3, the QoR-15 scores on POD 1 (G group, 77.10 ± 10.16; NG group, 85.97 ± 11.07; NTG group, 90.86 ± 12.36) in the NG and NTG groups were significantly higher than those in the G group (P \ 0.05). The QoR-15 scores on POD 3 (G group, 96.55 ± 10.51; NG group, 100.55 ± 10.06; NTG group, 116.38 ± 10.82) and ",Reported analyzed arms,"New additive result, not inserted into frozen v38 core"
V33-OD-0025,Zhou 2025,Zhou_2025,QoR-15,TEAS,sham,POD1 (~24 h),laparoscopic gynecological surgery (mixed procedures),PACU TEAS vs no-current electrodes,48,112,10.67,49,107.62,10.27,4.3799999999999955,4.52436024659864,"Table 2, PDF p7",TEAS EA Verification/Source PDFs/105119.pdf,d9bf76bd7e244dd4513f686ee9be168122d8db4ced699a7f881f93237b3cb52b,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhou_2025.txt,38b208d76d539a13ff08f8d64b3f562ae95f71a58076aa61464983f48af82af4,89 Physical independence 14.85±2.79 15.12±2.47 0.617 Pain 14.18±2.91 12.47±2.92 0.005* Global score 112.00±10.67 107.62±10.27 0.042* POD 2 Emotional state 31.35±3.19 30.22±3.29 0.089 Physical comfort 39.62±3.14 38.78±3.43 0.207 Psychological support 17.85±1.40 18.08±1.48 0.439 Physical independence 15.52±2.25 1,Reported analyzed arms,Existing v38 exact global result
