model_id,phase,role,measure,model_k,model_estimate,model_ci_low,model_ci_high,model_p_value,model_tau2,model_i2,study,study_outcome,study_timepoint,modality,comparator,n_i,n_c,study_n,study_effect,rob2_overall,grade,note
v34_qor40_24h_TEAS_Sham,REPRODUCED,secondary,MD,2,6.7163,-2.1609,15.5935,0.13811,36.3767,87.86,Yao 2015,Global QoR-40,24 h postoperatively,TEAS,Sham,35,36,71.0,11.7,High,,
v34_qor40_24h_TEAS_Sham,REPRODUCED,secondary,MD,2,6.7163,-2.1609,15.5935,0.13811,36.3767,87.86,Liang 2021,Global QoR-40,24 h (T11),TEAS,Sham,35,35,70.0,2.6,Low,,
v34_gi_first_defecation_TEAS_Sham,REPRODUCED,secondary,MD,3,-10.3982,-23.1249,2.3285,0.07226,6.4464,20.81,Lu 2022,Time to first defecation,Postoperative,TEAS,Sham,47,47,94.0,-13.4,Some concerns,,
v34_gi_first_defecation_TEAS_Sham,REPRODUCED,secondary,MD,3,-10.3982,-23.1249,2.3285,0.07226,6.4464,20.81,Gu 2019,Time to first defecation,Postoperative,TEAS,Sham,58,59,117.0,-5.79,Some concerns,,
v34_gi_first_defecation_TEAS_Sham,REPRODUCED,secondary,MD,3,-10.3982,-23.1249,2.3285,0.07226,6.4464,20.81,Gao 2021,Time to first defecation,Postoperative,TEAS,Sham,303,307,610.0,-14.8,Some concerns,,
v34_gi_first_defecation_EA_Usual_care,REPRODUCED,secondary,MD,3,-4.0811,-6.0671,-2.095,0.01255,0.0,0.0,Yang 2024,Time to first defecation,Postoperative,EA,Usual care,90,90,180.0,-3.8,High,,
v34_gi_first_defecation_EA_Usual_care,REPRODUCED,secondary,MD,3,-4.0811,-6.0671,-2.095,0.01255,0.0,0.0,Huang 2025,Time to first defecation,Postoperative,EA,Usual care,43,45,88.0,-5.3,High,,
v34_gi_first_defecation_EA_Usual_care,REPRODUCED,secondary,MD,3,-4.0811,-6.0671,-2.095,0.01255,0.0,0.0,Yang 2020,Time to first defecation,Postoperative,EA,Usual care,29,28,57.0,-3.6,Some concerns,,
v34_primary_24h_mme_TEAS_Sham,REPRODUCED,primary,MD,4,-13.9953,-34.1808,6.1903,0.11448,156.8823,98.59,Chen 1998,Cumulative IV PCA hydromorphone,First 24 h postoperatively,TEAS,Sham,25,25,50.0,-21.0,Some concerns,,
v34_primary_24h_mme_TEAS_Sham,REPRODUCED,primary,MD,4,-13.9953,-34.1808,6.1903,0.11448,156.8823,98.59,Chen 2020,Cumulative sufentanil,24 h postoperatively,TEAS,Sham,40,40,80.0,-28.19,Some concerns,,
