family,outcome,window,unit,statistic,modality,comparator,rows,include_rows,usable_contrasts,independent_studies,verdict,studies
functional_recovery_and_other,Wake-up time,Postoperative,minutes,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Zheng 2025
gi_recovery,Abdominal distension,Within 72 h after surgery,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Wang 2023
gi_recovery,Abdominal distension incidence,Postoperative; assessment window not separately stated,participants,Events/total,EA,Usual care,1,1,1,1,NOT POOLED - only 1 independent study,Yang 2020
gi_recovery,Abdominal distension severity grade 0,Postoperative; assessment window not separately stated,participants,Events/total,EA,Usual care,1,1,1,1,NOT POOLED - only 1 independent study,Yang 2020
gi_recovery,Abdominal distension severity grade 1,Postoperative; assessment window not separately stated,participants,Events/total,EA,Usual care,1,1,1,1,NOT POOLED - only 1 independent study,Yang 2020
gi_recovery,Abdominal distension severity grade 2,Postoperative; assessment window not separately stated,participants,Events/total,EA,Usual care,1,1,1,1,NOT POOLED - only 1 independent study,Yang 2020
gi_recovery,Abdominal distension severity grade 3,Postoperative; assessment window not separately stated,participants,Events/total,EA,Usual care,1,1,1,1,NOT POOLED - only 1 independent study,Yang 2020
gi_recovery,Abdominal distension severity grade 4,Postoperative; assessment window not separately stated,participants,Events/total,EA,Usual care,1,1,0,0,NOT POOLED - only 0 independent study,
gi_recovery,Abdominal distention incidence,Postoperative,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Jiang 2026
gi_recovery,Bowel obstruction,Postoperative,participants,Events/total,EA,Usual care,1,1,1,1,NOT POOLED - only 1 independent study,Huang 2025
gi_recovery,Distention score,Postoperative 72 h,Score; scale not defined in main article,Mean/SD,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
gi_recovery,First postoperative water intake time,Postoperative,minutes,Median/IQR,TEAS,Usual care,1,0,0,0,NOT POOLED - only 0 independent study,
gi_recovery,First solid food tolerance time,Postoperative,minutes,Median/IQR,TEAS,Usual care,1,0,0,0,NOT POOLED - only 0 independent study,
gi_recovery,I-FEED score,24 h,I-FEED score,Median/range,EA,Usual care,1,0,0,0,NOT POOLED - only 0 independent study,
gi_recovery,I-FEED score,48 h,I-FEED score,Median/range,EA,Usual care,1,0,0,0,NOT POOLED - only 0 independent study,
gi_recovery,I-FEED score,72 h,I-FEED score,Median/range,EA,Usual care,1,0,0,0,NOT POOLED - only 0 independent study,
gi_recovery,Postoperative gastrointestinal dysfunction: no bowel sounds >48 h,Postoperative,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Li 2021
gi_recovery,Postoperative paralytic ileus: no flatus >72 h,Postoperative,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Gao 2021
gi_recovery,Prolonged postoperative ileus / time to first defecation >96 h,Postoperative,participants,Events/total,MODALITY_REVIEW_REQUIRED,CONTROL_TYPE_REVIEW_REQUIRED,1,0,0,0,HOLD - comparator type needs adjudication,
gi_recovery,Time to first borborygmus,Postoperative,hours,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Zheng 2025
gi_recovery,Time to first bowel motion / defecation,Postoperative,hours,Mean/SD,EA,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Ng 2013
gi_recovery,Time to first bowel motion / defecation,Postoperative,hours,Mean/SD,EA,Usual care,1,1,1,1,NOT POOLED - only 1 independent study,Ng 2013
gi_recovery,Time to first bowel motion by auscultation,Postoperative,hours,Median/IQR,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
gi_recovery,Time to first defecation,Postoperative,hours,Graph-only mean±SE,MODALITY_REVIEW_REQUIRED,CONTROL_TYPE_REVIEW_REQUIRED,1,0,0,0,HOLD - comparator type needs adjudication,
gi_recovery,Time to first defecation,Postoperative,hours,Median/IQR,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
gi_recovery,Time to first flatus,Modified-ITT-type analysis among intervention recipients,hours,Median/IQR,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
gi_recovery,Time to first flatus,Postoperative,days,Mean/SD,EA,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Ng 2013
gi_recovery,Time to first flatus,Postoperative,hours,Graph-only mean±SE,MODALITY_REVIEW_REQUIRED,CONTROL_TYPE_REVIEW_REQUIRED,1,0,0,0,HOLD - comparator type needs adjudication,
gi_recovery,Time to first flatus,Postoperative,hours,Median/IQR,TEAS,Sham,2,0,0,0,NOT POOLED - only 0 independent study,
gi_recovery,Time to first oral intake of water,Postoperative,hours,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Lu 2022
gi_recovery,Time to first postoperative defecation,Postoperative,hours,Mean/SD,TEAS,Sham,3,3,3,1,NOT POOLED - only 1 independent study,Sun 2017
gi_recovery,Time to first postoperative flatus,From surgery to first flatus,hours,Mean/SD,EA,Usual care,1,1,1,1,NOT POOLED - only 1 independent study,Yang 2020
gi_recovery,Time to first postoperative flatus,Postoperative,hours,Mean/SD,TEAS,Sham,3,3,3,1,NOT POOLED - only 1 independent study,Sun 2017
gi_recovery,Time to first postoperative flatus,Postoperative recovery endpoint,minutes,Median/IQR,TEAS,Usual care,1,0,0,0,NOT POOLED - only 0 independent study,
gi_recovery,Time to passage of first flatus,From end of surgery to first flatus,hours,Mean/SD,EA,Usual care,3,3,3,1,NOT POOLED - only 1 independent study,Zhu 2022
gi_recovery,Time to resume diet,Postoperative,days,Graph-only mean±SE,MODALITY_REVIEW_REQUIRED,CONTROL_TYPE_REVIEW_REQUIRED,1,0,0,0,HOLD - comparator type needs adjudication,
gi_recovery,Time to resume normal diet,Postoperative,hours,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Gao 2021
intraoperative_opioid,Alfentanil requirement rate,Intraoperative,µg/kg/min,Mean/SD,EA,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Sim 2002
intraoperative_opioid,Alfentanil requirement rate,Intraoperative,μg/kg/min,Mean/SD,EA,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
intraoperative_opioid,Author-defined intraoperative morphine-equivalent exposure,Intraoperative,mg/kg morphine-equivalent,Study-defined converted metric,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
intraoperative_opioid,Author-defined intraoperative morphine-equivalent exposure,Intraoperative,mg/kg; author-defined conversion metric,Mean/SD,TEAS,Sham,3,0,0,0,NOT POOLED - only 0 independent study,
intraoperative_opioid,Cumulative remifentanil,Intraoperative,µg remifentanil,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Wu 2022
intraoperative_opioid,Intraoperative remifentanil,Intraoperative,mg remifentanil,Mean/SD,EA,Usual care,3,3,3,1,NOT POOLED - only 1 independent study,Zhu 2022
intraoperative_opioid,Intraoperative remifentanil,Intraoperative,ug remifentanil,Mean/SD,TEAS,Usual care,1,1,1,1,NOT POOLED - only 1 independent study,Pan 2023
intraoperative_opioid,Intraoperative remifentanil dose,Intraoperative,µg remifentanil,Median/IQR,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
intraoperative_opioid,Intraoperative sufentanil,Intraoperative,ug sufentanil,Mean/SD,EA,Usual care,3,3,3,1,NOT POOLED - only 1 independent study,Zhu 2022
intraoperative_opioid,Intraoperative sufentanil dose,Intraoperative,µg sufentanil,Median/IQR,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
intraoperative_opioid,Remifentanil consumption,Intraoperative,mg remifentanil,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Guo 2023
intraoperative_opioid,Remifentanil consumption,Intraoperative,mg remifentanil,Median/IQR,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
intraoperative_opioid,Remifentanil consumption,Intraoperative,µg remifentanil,Mean/SD,EA,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Ntritsou 2014
intraoperative_opioid,Remifentanil consumption,Intraoperative,µg remifentanil,Mean/SD,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
intraoperative_opioid,Remifentanil consumption,Intraoperative,µg remifentanil,Median/IQR,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
intraoperative_opioid,Remifentanil consumption,Intraoperative,μg,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Liang 2021
intraoperative_opioid,Remifentanil consumption rate,Intraoperative,µg/kg/min,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Zhang 2014
intraoperative_opioid,Remifentanil dose index,Intraoperative,µg/min/kg,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Wu 2022
intraoperative_opioid,Sufentanil consumption,Intraoperative,µg sufentanil,Mean/SD,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
intraoperative_opioid,Sufentanil consumption,Intraoperative,μg,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Liang 2021
intraoperative_opioid,Total intraoperative remifentanil consumption,Intraoperative,µg remifentanil,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Zheng 2025
intraoperative_opioid,Total intraoperative sufentanil consumption,Intraoperative,µg sufentanil,Mean/SD,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,1,1,1,1,HOLD - comparator type needs adjudication,Song 2020
intraoperative_opioid,Total intraoperative sufentanil consumption,Intraoperative,µg sufentanil,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Liu 2015
intraoperative_opioid,Total opioid as remifentanil-equivalent rate,Intraoperative,µg/kg/min remifentanil-equivalent,Mean/SD,TEAS,Sham,3,3,3,1,NOT POOLED - only 1 independent study,Huang 2017
intraoperative_opioid,Total remifentanil,Intraoperative,mg remifentanil,Mean/SD,TEAS,Sham,2,2,2,1,NOT POOLED - only 1 independent study,Lu 2021
intraoperative_opioid,Total remifentanil consumption,Intraoperative,µg remifentanil,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Xing 2022
intraoperative_opioid,Total sufentanil,Intraoperative,µg sufentanil,Mean/SD,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,2,2,2,1,HOLD - comparator type needs adjudication,Wang 2024
los,Hospital length of stay,Postoperative hospitalization,days,Mean/SD,EA,Usual care,1,1,1,1,NOT POOLED - only 1 independent study,Huang 2025
los,Hospital length of stay,Postoperative hospitalization,days,Mean/SD,MODALITY_REVIEW_REQUIRED,CONTROL_TYPE_REVIEW_REQUIRED,2,2,2,1,HOLD - comparator type needs adjudication,Wu 2016
los,Hospital stay,Postoperative hospitalization,days,Mean/SD,EA,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Long 2025
los,Hospital stay,Postoperative hospitalization,days,Mean/SD,EA,Usual care,1,1,1,1,NOT POOLED - only 1 independent study,Yang 2020
los,Hospital stay duration,Postoperative hospitalization,days,Median/IQR,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
los,Length of postoperative hospital stay,From date of surgery to discharge,days,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Li 2021
los,Postoperative hospital length of stay,Postoperative,days,Graph-only mean±SE,MODALITY_REVIEW_REQUIRED,CONTROL_TYPE_REVIEW_REQUIRED,1,0,0,0,HOLD - comparator type needs adjudication,
los,Postoperative hospital stay,Postoperative hospitalization,days,Median/IQR,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
los,Postoperative hospitalization,Postoperative hospitalization,days,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Wang 2023
los,Postoperative hospitalization time,Postoperative hospitalization,days,Mean/SD,TEAS,Usual care,1,1,1,1,NOT POOLED - only 1 independent study,Pan 2023
los,Total hospital length of stay,Total admission,,Source not accessed,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
nausea,Cumulative postoperative nausea,0-48 h,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Luo 2026
nausea,Nausea,24 h,participants,Events/total,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,1,1,1,1,HOLD - comparator type needs adjudication,Ma 2026
nausea,Nausea,Within 48 h after surgery,percent,Published percentage (95% CI),TEAS,Sham,3,0,0,0,NOT POOLED - only 0 independent study,
nausea,Nausea incidence,0–2 h,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Zheng 2025
nausea,Nausea incidence,0–24 h,participants,Events/total,TEAS,Sham,2,2,2,1,NOT POOLED - only 1 independent study,Lu 2021
nausea,Nausea incidence,0–24 h after surgery,participants,Events/total,EA,Usual care,1,1,1,1,NOT POOLED - only 1 independent study,Yang 2020
nausea,Nausea incidence,24–48 h after surgery,participants,Events/total,EA,Usual care,1,1,1,1,NOT POOLED - only 1 independent study,Yang 2020
nausea,Nausea incidence,2–4 h,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Zheng 2025
nausea,Nausea incidence,48–72 h after surgery,participants,Events/total,EA,Usual care,1,1,0,0,NOT POOLED - only 0 independent study,
nausea,Nausea incidence,4–6 h,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Zheng 2025
nausea,Nausea incidence,6–24 h,participants,Events/total,TEAS,Sham,1,1,0,0,NOT POOLED - only 0 independent study,
nausea,Nausea incidence,Postoperative observation period; PCA/TEAS discontinued at 24 h,participants with nausea,Events/total,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,1,1,1,1,HOLD - comparator type needs adjudication,Szmit 2021
nausea,Nausea incidence,Postoperative observation period; PCA/TEAS discontinued at 24 h,participants with nausea,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Szmit 2021
nausea,Nausea incidence,Within 24 h after operation,participants,Other (describe),TEAS,Usual care,1,0,0,0,NOT POOLED - only 0 independent study,
nausea,Nausea score,Postoperative 72 h,Score; scale not defined in main article,Mean/SD,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
nausea,Nausea severity,0-24 h,VAS 1-10,Qualitative / exact group values unavailable,MODALITY_REVIEW_REQUIRED,Usual care,1,0,0,0,HOLD - comparator type needs adjudication,
nausea,Nausea severity score,0–2 h after craniotomy,"WHO PONV 4-class nausea rating, 0–3",Median/IQR,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
nausea,Nausea severity score,0–24 h after surgery,4-point rating scale 0-3,Median/IQR,EA,Usual care,1,0,0,0,NOT POOLED - only 0 independent study,
nausea,Nausea severity score,0–6 h after surgery,4-point Likert-type severity scale 0-3,Mean/SD,EA,Usual care,3,3,3,1,NOT POOLED - only 1 independent study,Zhu 2022
nausea,Nausea severity score,24–48 h after surgery,4-point Likert-type severity scale 0-3,Mean/SD,EA,Usual care,3,3,3,1,NOT POOLED - only 1 independent study,Zhu 2022
nausea,Nausea severity score,24–48 h after surgery,4-point rating scale 0-3,Median/IQR,EA,Usual care,1,0,0,0,NOT POOLED - only 0 independent study,
nausea,Nausea severity score,2–6 h after craniotomy,"WHO PONV 4-class nausea rating, 0–3",Median/IQR,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
nausea,Nausea severity score,48–72 h after surgery,4-point rating scale 0-3,Other (describe),EA,Usual care,1,0,0,0,NOT POOLED - only 0 independent study,
nausea,Nausea severity score,6–24 h after craniotomy,"WHO PONV 4-class nausea rating, 0–3",Median/IQR,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
nausea,Nausea severity score,6–24 h after surgery,4-point Likert-type severity scale 0-3,Mean/SD,EA,Usual care,3,3,3,1,NOT POOLED - only 1 independent study,Zhu 2022
nausea,Persistent nausea (>5 min),0-24 h,participants with persistent nausea,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Gao 2022
nausea,Postoperative nausea,0-24 h postoperative,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Yao 2015
nausea,Postoperative nausea,6-24 h postoperatively,participants with nausea,Events/total,EA,Usual care,3,3,3,1,NOT POOLED - only 1 independent study,Zhu 2022
nausea,Postoperative nausea,Postoperative,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Zhang 2014
nausea,Postoperative nausea incidence,0–6 h after surgery,participants,Events/total,EA,Usual care,3,3,3,1,NOT POOLED - only 1 independent study,Zhu 2022
nausea,Postoperative nausea incidence,24–48 h after surgery,participants,Events/total,EA,Usual care,3,3,3,1,NOT POOLED - only 1 independent study,Zhu 2022
nausea,Postoperative nausea incidence,48–72 h after surgery,participants,Events/total,EA,Usual care,3,3,0,0,NOT POOLED - only 0 independent study,
nausea,Postoperative nausea incidence,Postoperative day 1,participants with nausea,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Liu 2015
nausea,Postoperative nausea incidence,Postoperative day 2,participants with nausea,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Liu 2015
nausea,Postoperative nausea incidence,Postoperative day 3,participants with nausea,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Liu 2015
pain,24 h postoperative pain VAS score,0-24 h / 24 h assessment,VAS 0-10,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Gao 2022
pain,Abdominal pain score,Postoperative 72 h,Score; scale not defined in main article,Mean/SD,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
pain,Activity pain VAS,24 h,VAS 0-10,Graph-only mean/SD,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
pain,Activity pain VAS,48 h,VAS 0-10,Graph only,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
pain,Activity pain VAS,72 h,VAS 0-10,Graph only,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
pain,Activity-evoked VAS,24 h,VAS 0-10,Median/IQR,TEAS,Sham,3,0,0,0,NOT POOLED - only 0 independent study,
pain,Activity-evoked VAS during coughing,1 h,VAS 0–10,Graph only,TEAS,Sham,3,0,0,0,NOT POOLED - only 0 independent study,
pain,Activity-evoked VAS during coughing,48 h,VAS 0–10,Graph only,TEAS,Sham,3,0,0,0,NOT POOLED - only 0 independent study,
pain,Activity-evoked VAS during coughing,6 h,VAS 0–10,Graph only,TEAS,Sham,3,0,0,0,NOT POOLED - only 0 independent study,
pain,Average postoperative pain,POD1-POD5 average,pain score,Mean/SD,TEAS,Usual care,1,1,1,1,NOT POOLED - only 1 independent study,Zhou 2021
pain,Dynamic pain VAS,0–24 h after surgery,VAS 0-10,Median/IQR,EA,Usual care,1,0,0,0,NOT POOLED - only 0 independent study,
pain,Dynamic pain VAS,24–48 h after surgery,VAS 0-10,Median/IQR,EA,Usual care,1,0,0,0,NOT POOLED - only 0 independent study,
pain,Dynamic pain VAS,48–72 h after surgery,VAS 0-10,Median/IQR,EA,Usual care,1,0,0,0,NOT POOLED - only 0 independent study,
pain,Mean resting VAS over first 24 h,0–24 h mean across 6-hourly assessments,VAS 0–10,Mean/SD,EA,Sham,2,2,2,1,NOT POOLED - only 1 independent study,Sim 2002
pain,Mechanical pain threshold around surgical incision,24 h,mechanical threshold,Source-reported direction; exact value not promoted,EA,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
pain,Moderate-to-severe movement-evoked pain (VAS >4),24 h,participants,Events/total,EA,Sham,1,1,1,1,NOT POOLED - only 1 independent study,He 2026 (breast/WJCO)
pain,Moderate-to-severe pain (NRS ≥4),Within 24 h,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Liu 2026 (ESD)
pain,Moderate-to-severe pain (VAS >4),Within 12 h,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Wu 2025
pain,Moderate-to-severe visceral pain,POD1,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Zhang 2025
pain,Movement VAS,24 h,VAS,Mean/SD,EA,Sham,1,1,1,1,NOT POOLED - only 1 independent study,He 2026 (breast/WJCO)
pain,NRS among participants reporting chronic pain,3 months,NRS 0–10,Mean/SD,TEAS,Sham,2,0,0,0,NOT POOLED - only 0 independent study,
pain,NRS among participants reporting chronic pain,6 months,NRS 0–10,Mean/SD,TEAS,Sham,2,0,0,0,NOT POOLED - only 0 independent study,
pain,NRS at cough,24 h after surgery,NRS 0–10,Median/IQR,TEAS,Sham,2,0,0,0,NOT POOLED - only 0 independent study,
pain,NRS at rest,24 h after surgery,NRS 0–10,Median/IQR,TEAS,Sham,2,0,0,0,NOT POOLED - only 0 independent study,
pain,NRS in the mobile state,1 h after operation,NRS 0-10,Other (describe),TEAS,Usual care,1,0,0,0,NOT POOLED - only 0 independent study,
pain,NRS in the mobile state,24 h after operation,NRS 0-10,Other (describe),TEAS,Usual care,1,0,0,0,NOT POOLED - only 0 independent study,
pain,NRS pain intensity,24 h,NRS 0-10,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Liu 2026 (ESD)
pain,NRS pain intensity,POD1,NRS,Graph-only continuous data,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
pain,NRS pain score,24 h,NRS 0–10,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Zheng 2025
pain,NRS pain score,48 h,NRS 0–10,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Zheng 2025
pain,NRS pain score,6 h,NRS 0–10,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Zheng 2025
pain,NRS pain score,"AMBIGUOUS — single summary; Methods planned 6 h, 24 h and 48 h",NRS 0-10,Median/IQR,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
pain,PACU highest NRS score,PACU,NRS 0-10,Other (describe),TEAS,Usual care,1,0,0,0,NOT POOLED - only 0 independent study,
pain,Pain event as reported (threshold/definition not stated),24 h (T11),participants,Events/total,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
pain,Pain event as reported (threshold/definition not stated),48 h (T12),participants,Events/total,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
pain,Pain event as reported (threshold/definition not stated),End of surgery (T5),participants,Events/total,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
pain,Pain event as reported (threshold/definition not stated),PACU discharge (T9),participants,Events/total,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
pain,Pain on movement (NRS),0–6 h,NRS 0-10,Mean/SD,EA,Usual care,3,3,3,1,NOT POOLED - only 1 independent study,Zhu 2022
pain,Pain on movement (NRS),24–48 h,NRS 0-10,Mean/SD,EA,Usual care,3,3,3,1,NOT POOLED - only 1 independent study,Zhu 2022
pain,Pain on movement (NRS),48–72 h,NRS 0-10,Mean/SD,EA,Usual care,3,3,3,1,NOT POOLED - only 1 independent study,Zhu 2022
pain,Pain on movement (NRS),6–24 h,NRS 0-10,Mean/SD,EA,Usual care,3,3,3,1,NOT POOLED - only 1 independent study,Zhu 2022
pain,Participants with postoperative VAS score ≥4,12 h post-OP,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Li 2021
pain,Participants with postoperative VAS score ≥4,3 pm on day 1,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Li 2021
pain,Participants with postoperative VAS score ≥4,3 pm on day 2,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Li 2021
pain,Participants with postoperative VAS score ≥4,9 am on day 1,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Li 2021
pain,Participants with postoperative VAS score ≥4,9 am on day 2,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Li 2021
pain,Post-mastectomy chronic pain incidence,3 months,participants,Events/total,TEAS,Sham,2,2,2,1,NOT POOLED - only 1 independent study,Lu 2021
pain,Post-mastectomy chronic pain incidence,6 months,participants,Events/total,TEAS,Sham,2,2,2,1,NOT POOLED - only 1 independent study,Lu 2021
pain,Postoperative NRS pain,24 h,NRS 0-10,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Luo 2026
pain,Postoperative NRS pain,24 h,NRS 0-10,Median/IQR,EA,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
pain,Postoperative VAS pain,PACU and POD1-3,VAS 0-10,Graph-only continuous data,EA,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
pain,Postoperative VAS pain score,2 h after surgery,VAS 0-10,Mean/SD,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,1,1,1,1,HOLD - comparator type needs adjudication,Song 2020
pain,Postoperative VAS pain score,24 h after surgery,VAS 0-10,Mean/SD,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,1,1,1,1,HOLD - comparator type needs adjudication,Song 2020
pain,Postoperative VAS pain score,4 h after surgery,VAS 0-10,Mean/SD,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,1,1,1,1,HOLD - comparator type needs adjudication,Song 2020
pain,Postoperative VAS pain score,6 h after surgery,VAS 0-10,Mean/SD,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,1,1,1,1,HOLD - comparator type needs adjudication,Song 2020
pain,Postoperative VAS pain score,Postoperative day 1,VAS 0-10,Graph-only continuous data,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
pain,Postoperative VAS pain score,Postoperative day 2,VAS 0-10,Graph-only continuous data,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
pain,Postoperative VAS pain score,Postoperative day 3,VAS 0-10,Graph-only continuous data,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
pain,Postoperative pain VAS,12 h,VAS 0–10,Other (describe),TEAS,CONTROL_TYPE_REVIEW_REQUIRED,1,0,0,0,HOLD - comparator type needs adjudication,
pain,Postoperative pain VAS,2 h,VAS 0–10,Other (describe),TEAS,CONTROL_TYPE_REVIEW_REQUIRED,1,0,0,0,HOLD - comparator type needs adjudication,
pain,Postoperative pain VAS,24 h,VAS 0–10,Other (describe),TEAS,CONTROL_TYPE_REVIEW_REQUIRED,1,0,0,0,HOLD - comparator type needs adjudication,
pain,Postoperative pain VAS,36 h,VAS 0–10,Other (describe),TEAS,CONTROL_TYPE_REVIEW_REQUIRED,1,0,0,0,HOLD - comparator type needs adjudication,
pain,Postoperative pain VAS,6 h,VAS 0–10,Other (describe),TEAS,CONTROL_TYPE_REVIEW_REQUIRED,1,0,0,0,HOLD - comparator type needs adjudication,
pain,Rest pain VAS,24 h,VAS 0-10,Graph only,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
pain,Rest pain VAS,24 h,VAS 0-10,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Xing 2022
pain,Rest pain VAS,48 h,VAS 0-10,Graph only,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
pain,Rest pain VAS,72 h,VAS 0-10,Graph only,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
pain,Resting F-VAS pain,24 h,F-VAS 0-100 mm,Graph-only continuous data,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
pain,Resting NRS pain,24 h,NRS 0-10,Graph-only continuous data,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,1,0,0,0,HOLD - comparator type needs adjudication,
pain,Resting VAS,1 h,VAS 0–10,Graph only,TEAS,Sham,3,0,0,0,NOT POOLED - only 0 independent study,
