study,year,comparison_id,modality,comparator,tier,n_i,n_c,mean_i_src,sd_i_src,mean_c_src,sd_c_src,unit_src,mme_factor,mean_i_mme,sd_i_mme,mean_c_mme,sd_c_mme,md_mme,se_mme,hedges_g,hedges_se,in_S0,in_S0_teas_sham,in_S0_ea_usual,multiarm_alt,multiarm_note,source_locator
Chen 1998,1998,CHEN98_ACU_vs_SHAM,TEAS,Sham,A,25,25,6.5,3.5,10.7,5.0,mg hydromorphone,5.0,32.5,17.5,53.5,25.0,-21.0,6.103278,-0.957912,0.298623,1,1,0,0,4-arm; acupoint contrast only; shares one sham arm with the dermatomal and non-acupoint contrasts,covidence_969_chen_1998.pdf; v32 Opioid_24h_Candidates
Chen 2020,2020,CHEN20_TEAS_vs_SHAM,TEAS,Sham,A,40,40,72.43,4.78,100.62,10.2,ug sufentanil,1.0,72.43,4.78,100.62,10.2,-28.19,1.78107,-3.505011,0.356064,1,1,0,0,,Thoracic Cancer 2020 Chen; v32 Opioid_24h_Candidates
He 2026 (hepatectomy/JIS),2026,HEJIS26_TEAS_vs_CTRL_MME24,TEAS,Sham,A,80,79,20.0,2.5,20.6,4.5,mg MME,1.0,20.0,2.5,20.6,4.5,-0.6,0.57832,-0.164321,0.158881,1,1,0,0,,J Invest Surg 2026 eTable 1 (reports MME directly)
Szmit 2021,2021,SZMIT21_TEAS_vs_SHAM_MORPH24,TEAS,Sham,A,24,24,7.5,3.8,15.2,6.24,mg IV morphine,1.0,7.5,3.8,15.2,6.24,-7.7,1.491331,-1.466046,0.325149,1,1,0,0,3-arm; sham contrast used; PCA-only arm is the correlated alternative,pdf-3.pdf (J Clin Med 2021;10:146)
El-Rakshy 2009,2009,ELR09_EA_vs_CTRL_MORPH24,EA,Usual Care,A,42,53,35.3,18.0,36.9,18.0,mg IV morphine,1.0,35.3,18.0,36.9,18.0,-1.6,3.718534,-0.08817,0.206684,1,0,1,0,,Acupunct Med 2009; Table 2 (n=42/53)
Seevaunnamtum 2016,2016,SEEVA16_EA_vs_UC,EA,Usual Care,A,32,32,21.38,14.38,33.94,20.24,mg morphine,1.0,21.38,14.38,33.94,20.24,-12.56,4.389056,-0.706727,0.257686,1,0,1,0,,Anesth Pain Med 2016;6(6):e40106
Yang 2024,2024,YANG24_EA_vs_UC_MORPH24,EA,Usual Care,A,90,90,43.7,4.7,44.0,4.9,mg morphine,1.0,43.7,4.7,44.0,4.9,-0.3,0.715697,-0.062223,0.149107,1,0,1,0,,Explore (NY) 2024;20(3):450-455
Szmit 2021 (PCA-only arm),2021,SZMIT21_TEAS_vs_CTRL_MORPH24,TEAS,Usual Care,A,24,23,7.5,3.8,15.5,6.1,mg IV morphine,1.0,7.5,3.8,15.5,6.1,-8.0,1.489796,-1.55549,0.332994,0,0,0,1,correlated with SZMIT21_TEAS_vs_SHAM_MORPH24 - never pool both,pdf-3.pdf (J Clin Med 2021;10:146)
