study_id,canonical_name,author,year,modality,comparator,comparator_type,stratum,native_drug,native_unit,mme_factor,arm1_n,arm1_mean_native,arm1_sd_native,arm2_n,arm2_mean_native,arm2_sd_native,arm1_mean,arm1_sd,arm2_mean,arm2_sd,md_mme,se_mme,ci_low_mme,ci_upp_mme,hedges_g,hedges_se,opioid_status,rob2_overall,surgery_category
1879896013,Zhang 2025,Zhang,2025,TEAS,Sham,Sham-Controlled (Placebo Double-Blind),TEAS vs Sham,IV sufentanil,µg,1.0,43,78.4,12.2,43,104.6,15.8,78.4,12.2,104.6,15.8,-26.2,3.044,-32.17,-20.23,-1.84,0.257,Primary Direct,Low,Gastrointestinal & Colorectal
1879897074,Xie 2014,Xie,2014,EA,Sham,Sham-Controlled (Placebo Double-Blind),EA vs Sham,IV sufentanil,µg,1.0,20,115.0,6.0,20,133.5,7.0,115.0,6.0,133.5,7.0,-18.5,2.062,-22.54,-14.46,-2.781,0.443,Primary Direct,Some concerns,Thoracic & Cardiac
1879897414,Wong 2006,Wong,2006,EA,Sham,Sham-Controlled (Placebo Double-Blind),EA vs Sham,IV morphine,mg,1.0,13,33.9,12.8,12,42.3,21.3,33.9,12.8,42.3,21.3,-8.4,7.099,-22.31,5.51,-0.467,0.406,Primary Direct,Some concerns,Thoracic & Cardiac
1879896323,Yang 2024,Yang,2024,EA,Usual Care,Usual Care (Open-Label Control),EA vs Usual Care,IV morphine,mg,1.0,90,127.0,12.0,90,127.5,12.5,127.0,12.0,127.5,12.5,-0.5,1.826,-4.08,3.08,-0.041,0.149,Primary Direct,Some concerns,Thoracic & Cardiac
