record_id,comparison_id,study,endpoint_family,outcome,window,time_class,statistic_type,modality,comparator_type,intervention,comparator,unit,n_i,n_c,mean_i,sd_i,mean_c,sd_c,events_i,events_c,eligibility,reason,rob2,analysis_population,source,source_location,selected_model,effect,se,measure,effect_note,scale_factor,hedges_g,hedges_se
V33-OD-0097,TU24_TEAS_vs_SHAM_TRAMADOL,Tu 2024,Rescue opioid use,Any rescue tramadol use,6–24 h,6-24h,Events/total,TEAS,Sham,Postoperative TEAS,Sham/no current,participants,57,58,,,,,3,6,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1xQ9SbXVZblphUrb0-T9xpnAXk-_z5nBX/view?usp=drivesdk,"Table 4 / rescue tramadol, 6–24 h",,-0.675755,0.682067,logRR,Uncorrected log risk ratio,1,,
V33-OD-0159,LIU26ESD_TEAS_vs_SHAM_ANYMORPH,Liu 2026 (ESD),Rescue opioid use,Any rescue IV morphine use,Through 48 h,through 48h,Events/total,TEAS,Sham,Perioperative TEAS,Sham-point/no current,participants,58,62,,,,,19,40,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1Hp7pCBP8iXkGGYVhlFY0BHTeaaM7bhdY/view?usp=drivesdk,Postoperative rescue analgesia,,-0.677749,0.210383,logRR,Uncorrected log risk ratio,1,,
V33-OD-0169,LIU26BURN_TEAS_vs_SHAM_RESCUE,Liu 2026 (burn),Rescue opioid use,Any rescue dezocine use,Through POD1,through pod1,Events/total,TEAS,Sham,Pre-induction TEAS,Placebo/sham TEAS,participants,43,43,,,,,3,8,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1mvekGtHD2JAKCRbIXrvLw1Nz7hbQ1dZ3/view?usp=drivesdk,Rescue analgesia,,-0.980829,0.641733,logRR,Uncorrected log risk ratio,1,,
V33-OD-0366,YU20_TEAS_vs_CTRL_RESCUEOP24,Yu 2020,Rescue opioid use,Participants requiring rescue sufentanil,0-24 h postoperative,0-24h postoperative,Events/total,TEAS,Sham,Preoperative TEAS,Control/no current (electrodes applied),participants,30,30,,,,,13,24,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,local: TEAS EA Verification/Source PDFs/s13063-019-3892-4.pdf,Table 3 (Cases of remedial analgesia),rescue_opioid_binary_24h,-0.613104,0.227866,logRR,Uncorrected log risk ratio,1,,
