model,study,record_id,comparison_id,outcome,window,unit,modality,comparator,statistic,analysis_population,rob2,source_location,measure,n_i,n_c,mean_i,sd_i,mean_c,sd_c,effect,se
gi_first_flatus_EA_Usual_care,Yang 2024,V33-OD-0053,YANG24_EA_vs_UC_FLATUS,Time to first flatus,Postoperative,hours,EA,Usual care,Mean/SD,,ROB2_RESULT_SPECIFIC_PENDING,Table 2 / primary first-flatus outcome,MD,90,90,15.4,3.2,17.0,3.7,-1.6,0.515644
gi_first_flatus_EA_Usual_care,Huang 2025,V33-OD-0198,HUANG25_EA_vs_UC_FLATUS,Time to first flatus,Postoperative,hours,EA,Usual care,Mean/SD,,EXISTING_RESULT_SPECIFIC: High,Co-primary outcome / first flatus,MD,43,45,36.4,8.0,42.2,8.5,-5.8,1.758956
