model_id,study,trial_id,result_id,factor,n_i,mean_i,sd_i,n_c,mean_c,sd_c,yi,vi
E2_TEAS_sham_leaveout_Lee2011,Chen 2020,Chen_2020,V33-OD-0014,0.5,40.0,36.215,2.39,40.0,50.31,5.1,-14.094999999999999,0.7930524999999999
E2_TEAS_sham_leaveout_Lee2011,He 2026 (hepatectomy/JIS),He_2026_hepatectomy_JIS,V33-OD-0214,1.0,80.0,20.0,2.5,79.0,20.6,4.5,-0.6000000000000014,0.3344541139240506
E2_TEAS_sham_leaveout_Lee2011,Zhang 2025,Zhang_2025,E2.1-ZHANG2025-POD1,0.5,45,25.265,2.23,48,26.895,2.57,-1.629999999999999,0.24811097222222223
E2_TEAS_sham_leaveout_Lee2011,Gu 2019,Gu_2019,E2.1-GU2019-FIG4-T4,0.5,58,27.855,3.965,59,29.42,3.705,-1.5650000000000013,0.503717044126242
E2_TEAS_sham_excl_unquantified_rescue,Szmit 2021,Szmit_2021,V33-OD-0350,1.0,24.0,7.5,3.8,24.0,15.2,6.24,-7.699999999999999,2.224066666666667
E2_TEAS_sham_excl_unquantified_rescue,Chen 2020,Chen_2020,V33-OD-0014,0.5,40.0,36.215,2.39,40.0,50.31,5.1,-14.094999999999999,0.7930524999999999
E2_TEAS_sham_excl_unquantified_rescue,He 2026 (hepatectomy/JIS),He_2026_hepatectomy_JIS,V33-OD-0214,1.0,80.0,20.0,2.5,79.0,20.6,4.5,-0.6000000000000014,0.3344541139240506
E2_TEAS_sham_excl_unquantified_rescue,Zhang 2025,Zhang_2025,E2.1-ZHANG2025-POD1,0.5,45,25.265,2.23,48,26.895,2.57,-1.629999999999999,0.24811097222222223
E2_TEAS_sham_excl_unquantified_rescue,Gu 2019,Gu_2019,E2.1-GU2019-FIG4-T4,0.5,58,27.855,3.965,59,29.42,3.705,-1.5650000000000013,0.503717044126242
E2_TEAS_sham_excl_unstated_route,Szmit 2021,Szmit_2021,V33-OD-0350,1.0,24.0,7.5,3.8,24.0,15.2,6.24,-7.699999999999999,2.224066666666667
E2_TEAS_sham_excl_unstated_route,Chen 1998,Chen_1998,V33-OD-0013,5,25.0,32.5,17.5,25.0,53.5,25.0,-21.0,37.25
E2_TEAS_sham_excl_unstated_route,Chen 2020,Chen_2020,V33-OD-0014,0.5,40.0,36.215,2.39,40.0,50.31,5.1,-14.094999999999999,0.7930524999999999
E2_TEAS_sham_excl_unstated_route,Lee 2011,Lee_2011,V33-OD-0184+V33-OD-0185,1.0,22.0,30.299090909090907,8.339820090037863,12.0,34.2,6.4,-3.9009090909090958,6.574815112160568
E2_TEAS_sham_excl_unstated_route,Zhang 2025,Zhang_2025,E2.1-ZHANG2025-POD1,0.5,45,25.265,2.23,48,26.895,2.57,-1.629999999999999,0.24811097222222223
E2_TEAS_sham_excl_unstated_route,Gu 2019,Gu_2019,E2.1-GU2019-FIG4-T4,0.5,58,27.855,3.965,59,29.42,3.705,-1.5650000000000013,0.503717044126242
E2_TEAS_sham_E1_restriction,Szmit 2021,Szmit_2021,V33-OD-0350,1.0,24.0,7.5,3.8,24.0,15.2,6.24,-7.699999999999999,2.224066666666667
E2_TEAS_sham_LOO_Szmit_2021,Chen 1998,Chen_1998,V33-OD-0013,5,25.0,32.5,17.5,25.0,53.5,25.0,-21.0,37.25
E2_TEAS_sham_LOO_Szmit_2021,Chen 2020,Chen_2020,V33-OD-0014,0.5,40.0,36.215,2.39,40.0,50.31,5.1,-14.094999999999999,0.7930524999999999
E2_TEAS_sham_LOO_Szmit_2021,He 2026 (hepatectomy/JIS),He_2026_hepatectomy_JIS,V33-OD-0214,1.0,80.0,20.0,2.5,79.0,20.6,4.5,-0.6000000000000014,0.3344541139240506
E2_TEAS_sham_LOO_Szmit_2021,Lee 2011,Lee_2011,V33-OD-0184+V33-OD-0185,1.0,22.0,30.299090909090907,8.339820090037863,12.0,34.2,6.4,-3.9009090909090958,6.574815112160568
E2_TEAS_sham_LOO_Szmit_2021,Zhang 2025,Zhang_2025,E2.1-ZHANG2025-POD1,0.5,45,25.265,2.23,48,26.895,2.57,-1.629999999999999,0.24811097222222223
E2_TEAS_sham_LOO_Szmit_2021,Gu 2019,Gu_2019,E2.1-GU2019-FIG4-T4,0.5,58,27.855,3.965,59,29.42,3.705,-1.5650000000000013,0.503717044126242
E2_TEAS_sham_LOO_Chen_1998,Szmit 2021,Szmit_2021,V33-OD-0350,1.0,24.0,7.5,3.8,24.0,15.2,6.24,-7.699999999999999,2.224066666666667
E2_TEAS_sham_LOO_Chen_1998,Chen 2020,Chen_2020,V33-OD-0014,0.5,40.0,36.215,2.39,40.0,50.31,5.1,-14.094999999999999,0.7930524999999999
E2_TEAS_sham_LOO_Chen_1998,He 2026 (hepatectomy/JIS),He_2026_hepatectomy_JIS,V33-OD-0214,1.0,80.0,20.0,2.5,79.0,20.6,4.5,-0.6000000000000014,0.3344541139240506
E2_TEAS_sham_LOO_Chen_1998,Lee 2011,Lee_2011,V33-OD-0184+V33-OD-0185,1.0,22.0,30.299090909090907,8.339820090037863,12.0,34.2,6.4,-3.9009090909090958,6.574815112160568
E2_TEAS_sham_LOO_Chen_1998,Zhang 2025,Zhang_2025,E2.1-ZHANG2025-POD1,0.5,45,25.265,2.23,48,26.895,2.57,-1.629999999999999,0.24811097222222223
E2_TEAS_sham_LOO_Chen_1998,Gu 2019,Gu_2019,E2.1-GU2019-FIG4-T4,0.5,58,27.855,3.965,59,29.42,3.705,-1.5650000000000013,0.503717044126242
E2_TEAS_sham_LOO_Chen_2020,Szmit 2021,Szmit_2021,V33-OD-0350,1.0,24.0,7.5,3.8,24.0,15.2,6.24,-7.699999999999999,2.224066666666667
E2_TEAS_sham_LOO_Chen_2020,Chen 1998,Chen_1998,V33-OD-0013,5,25.0,32.5,17.5,25.0,53.5,25.0,-21.0,37.25
E2_TEAS_sham_LOO_Chen_2020,He 2026 (hepatectomy/JIS),He_2026_hepatectomy_JIS,V33-OD-0214,1.0,80.0,20.0,2.5,79.0,20.6,4.5,-0.6000000000000014,0.3344541139240506
E2_TEAS_sham_LOO_Chen_2020,Lee 2011,Lee_2011,V33-OD-0184+V33-OD-0185,1.0,22.0,30.299090909090907,8.339820090037863,12.0,34.2,6.4,-3.9009090909090958,6.574815112160568
E2_TEAS_sham_LOO_Chen_2020,Zhang 2025,Zhang_2025,E2.1-ZHANG2025-POD1,0.5,45,25.265,2.23,48,26.895,2.57,-1.629999999999999,0.24811097222222223
E2_TEAS_sham_LOO_Chen_2020,Gu 2019,Gu_2019,E2.1-GU2019-FIG4-T4,0.5,58,27.855,3.965,59,29.42,3.705,-1.5650000000000013,0.503717044126242
E2_TEAS_sham_LOO_He_2026,Szmit 2021,Szmit_2021,V33-OD-0350,1.0,24.0,7.5,3.8,24.0,15.2,6.24,-7.699999999999999,2.224066666666667
E2_TEAS_sham_LOO_He_2026,Chen 1998,Chen_1998,V33-OD-0013,5,25.0,32.5,17.5,25.0,53.5,25.0,-21.0,37.25
E2_TEAS_sham_LOO_He_2026,Chen 2020,Chen_2020,V33-OD-0014,0.5,40.0,36.215,2.39,40.0,50.31,5.1,-14.094999999999999,0.7930524999999999
E2_TEAS_sham_LOO_He_2026,Lee 2011,Lee_2011,V33-OD-0184+V33-OD-0185,1.0,22.0,30.299090909090907,8.339820090037863,12.0,34.2,6.4,-3.9009090909090958,6.574815112160568
E2_TEAS_sham_LOO_He_2026,Zhang 2025,Zhang_2025,E2.1-ZHANG2025-POD1,0.5,45,25.265,2.23,48,26.895,2.57,-1.629999999999999,0.24811097222222223
E2_TEAS_sham_LOO_He_2026,Gu 2019,Gu_2019,E2.1-GU2019-FIG4-T4,0.5,58,27.855,3.965,59,29.42,3.705,-1.5650000000000013,0.503717044126242
E2_TEAS_sham_LOO_Lee_2011,Szmit 2021,Szmit_2021,V33-OD-0350,1.0,24.0,7.5,3.8,24.0,15.2,6.24,-7.699999999999999,2.224066666666667
E2_TEAS_sham_LOO_Lee_2011,Chen 1998,Chen_1998,V33-OD-0013,5,25.0,32.5,17.5,25.0,53.5,25.0,-21.0,37.25
E2_TEAS_sham_LOO_Lee_2011,Chen 2020,Chen_2020,V33-OD-0014,0.5,40.0,36.215,2.39,40.0,50.31,5.1,-14.094999999999999,0.7930524999999999
E2_TEAS_sham_LOO_Lee_2011,He 2026 (hepatectomy/JIS),He_2026_hepatectomy_JIS,V33-OD-0214,1.0,80.0,20.0,2.5,79.0,20.6,4.5,-0.6000000000000014,0.3344541139240506
E2_TEAS_sham_LOO_Lee_2011,Zhang 2025,Zhang_2025,E2.1-ZHANG2025-POD1,0.5,45,25.265,2.23,48,26.895,2.57,-1.629999999999999,0.24811097222222223
