analysis_id,outcome,stratum,k,estimate,ci_low,ci_high,p_value,tau2,i2,q_stat,model
OP24_PRIM_COMB,24-h Cumulative Postoperative Opioid,Combined Strict Primary (TEAS + EA),7,-9.9070034,-20.079363,.2653563,.054538377,113.91055,98.569153,254.60857,REML + Hartung-Knapp
OP24_TEAS_SHAM,24-h Cumulative Postoperative Opioid,TEAS vs Sham,4,-13.995275,-34.180843,6.1902914,.11447614,156.88229,98.590675,232.89413,REML + Hartung-Knapp
OP24_EA_CTRL,24-h Cumulative Postoperative Opioid,EA vs Control/Sham,3,-3.9358339,-19.773222,11.901554,.39689466,28.471277,77.152611,7.6678648,REML + Hartung-Knapp
OP24_LOWROB_ONLY,24-h Cumulative Postoperative Opioid,Sensitivity: Low/Some Concerns RoB only,6,-11.272961,-23.181637,.63571644,.059135512,123.59916,98.866768,254.51317,REML + Hartung-Knapp
OP24_PRIM_SMD,24-h Cumulative Postoperative Opioid,Standardized Mean Difference (Hedges g),7,-.96674985,-2.0861762,.15267643,.079024479,1.3659765,96.496735,100.08619,REML + Hartung-Knapp
