study,comparison_id,window,intervention,comparator,n_i,n_c,mean_i,sd_i,mean_c,sd_c,md,se,hedges_g,hedges_se
Yao 2015,YAO15_TEAS_vs_CONTROL,24 h postoperatively,Preoperative TEAS,Control/no current,35,36,176.5,10.2,164.8,14.7,11.7,2.995842,0.912379,0.249422
Yu 2020,YU20_TEAS_vs_CONTROL,Postoperative day 1 (~24 h),Preoperative TEAS,Control/no current,30,30,175.33,9.66,166.07,8.44,9.26,2.342002,1.00763,0.274094
Liang 2021,LIANG21_TEAS_vs_CTRL_QOR40_24H,24 h (T11),Preoperative TEAS,Control/no stimulation,35,35,191.7,4.4,189.1,4.3,2.6,1.039918,0.591045,0.244209
