model_id,field,python,metafor,absolute_difference,tolerance,pass_check
opioid24_TEAS_sham,k,1,1,0.0,1.1000000000000001e-05,True
opioid24_TEAS_sham,N,48,48,0.0,5.8e-05,True
opioid24_TEAS_sham,effect,-7.699999999999999,-7.7,8.881784197001252e-16,1.77e-05,True
opioid24_TEAS_sham,se,1.4913305021579444,1.49133050215794,4.440892098500626e-15,1.1491330502157945e-05,True
opioid24_TEAS_sham,ci_low,-10.622954073275604,-10.6229540732756,3.552713678800501e-15,2.0622954073275604e-05,True
opioid24_TEAS_sham,ci_high,-4.777045926724394,-4.7770459267244,5.329070518200751e-15,1.4777045926724395e-05,True
opioid24_TEAS_sham,p,2.4279627212789944e-07,2.427962721279e-07,5.823351512373315e-22,1.0000000242796273e-05,True
opioid24_TEAS_sham,tau2,0.0,0,0.0,1e-05,True
opioid24_TEAS_usual,k,1,1,0.0,1.1000000000000001e-05,True
opioid24_TEAS_usual,N,47,47,0.0,5.6999999999999996e-05,True
opioid24_TEAS_usual,effect,-8.0,-8,0.0,1.8e-05,True
opioid24_TEAS_usual,se,1.4897962121119748,1.48979621211197,4.6629367034256575e-15,1.1489796212111975e-05,True
opioid24_TEAS_usual,ci_low,-10.919946920043666,-10.9199469200437,3.375077994860476e-14,2.0919946920043666e-05,True
opioid24_TEAS_usual,ci_high,-5.080053079956334,-5.08005307995633,4.440892098500626e-15,1.5080053079956335e-05,True
opioid24_TEAS_usual,p,7.879693539374525e-08,7.87969353937456e-08,3.441071348220595e-22,1.0000000078796936e-05,True
opioid24_TEAS_usual,tau2,0.0,0,0.0,1e-05,True
opioid24_EA_usual,k,2,2,0.0,1.2e-05,True
opioid24_EA_usual,N,159,159,0.0,0.000169,True
opioid24_EA_usual,effect,-6.831992733060185,-6.83199273546786,2.407674948301519e-09,1.6831992733060184e-05,True
opioid24_EA_usual,se,5.47438511574999,5.47438511585907,1.0907985625863148e-10,1.547438511574999e-05,True
opioid24_EA_usual,ci_low,-76.39065081844696,-76.3906508222406,3.793644509642036e-09,8.639065081844695e-05,True
