analysis_id,analysis_type,stratum,k,n_participants,effect_measure,estimate,ci_low,ci_high,p_value,tau2,i2,q_stat,model,notes
OP24_STRICT_SMD,Strict primary (SMD reference),"Strict primary 24-h opioid, Hedges g",7,676,Hedges g (SMD),-.96674985,-2.0861762,.15267643,.079024479,1.3659765,96.496735,100.08619,REML + Hartung-Knapp,Strict set on the SMD metric; comparator for the broader SMD model
OP24_BROADER_SMD,Broader sensitivity (SMD),"Strict + conditional 24-h opioid, Hedges g",10,851,Hedges g (SMD),-.93437672,-1.6652896,-.20346382,.017829804,.940763,94.499931,105.0686,REML + Hartung-Knapp,"Adds Coura 2011, Sim 2002, Zhang 2025. Chen 2015 x2 remain unpoolable (Median/IQR). A k=11 MD pool is not estimable without prohibited body-weight reconstruction."
