omitted_study_id,omitted_canonical_name,omitted_author,omitted_year,remaining_k,remaining_total_n,pooled_md,se,wald_ci_low,wald_ci_upp,wald_p_val,kh_ci_low,kh_ci_upp,kh_p_val,tau2,i2,dfbetas
1879897506,"Chen 1998","Chen L",1998,10,895,-3.220764137921059,1.598675550903694,-5.614085297796391,-.8274429780457266,.0083499342521387,-6.837219486388216,.395691210546099,.0747654884459021,10.65090857907378,99.32384264701287,-1.134921975679175
1879897344,"El-Rakshy 2009","El-Rakshy",2009,10,850,-5.598266802107931,2.369646720809302,-9.753760922805917,-1.442772681409947,.0082794429693522,-10.95878010488797,-.2377534993278916,.0424279060753179,37.02932695347025,99.80447438081841,.2376432927913125
1879896891,"Seevaunnamtum 2016","Seevaunnamtum",2016,10,881,-4.183415783114234,2.123153265643983,-7.563285020241889,-.8035465459865794,.0152689899403697,-8.986322150709167,.6194905844807002,.0802932066986726,23.27720071512694,99.68938701832396,-.4011582127822031
1879896688,"Chen 2020","Chen J",2020,10,865,-5.661958678966109,2.436939529786085,-10.01230797693611,-1.311609380996106,.010745017624872,-11.17469889157779,-.1492184663544291,.0452341264098826,39.65674687703726,99.73222031873287,.2572171031254352
1879896323,"Yang 2024","Yang",2024,10,765,-5.838238407279564,2.348410237034235,-9.983704538794459,-1.69277227576467,.0057748012710581,-11.15071144617519,-.5257653683839409,.034646470601559,35.46022499018088,99.79153182412622,.3419769859592826
1879895909,"He 2026 (hepatectomy/JIS)","He",2026,10,786,-5.826776961616283,2.36290396690615,-10.00771581654832,-1.645838106684244,.006304497875816,-11.17203709535732,-.4815168278752449,.035808053008666,36.15523908926033,99.79312438547419,.3350287697176875
1879897479,"Sim 2002","Sim",2002,10,885,-4.869653978669574,2.320693813397572,-8.778817122082971,-.9604908352561772,.0146250972263289,-10.11942811130837,.3801201539692229,.0652916782326989,32.75393087128538,99.77908223871178,-.0713071983032638
1879897266,"Coura 2011","Coura",2011,10,923,-2.560190786477627,1.26388554246257,-4.352078602967711,-.7683029699875439,.0051049989276011,-5.419298519316424,.2989169463611687,.0734486718911018,5.376133287364588,98.66919947454576,-1.958203716234329
1879897029,"Chen 2015 (Hyperalgesia)","Chen Y",2015,10,886,-5.801405345050259,2.385794073342216,-10.03780510402941,-1.565005586071104,.0072744610962974,-11.19844649702286,-.4043641930776598,.0378801848766688,37.25083319321992,99.57977389759556,.3211799379458322
1879897004,"Chen 2015 (Thyroidectomy)","Chen Y",2015,10,862,-5.394838520312407,2.45242409058349,-9.743789278721863,-1.04588776190295,.0150439380237744,-10.94260724304472,.1529302024199071,.0553587721010502,39.83512082661766,99.81704099328758,.1466721718608437
1879896013,"Zhang 2025","Zhang",2025,10,852,-5.844531007092716,2.350017444825926,-9.993352700694608,-1.695709313490824,.0057617294622032,-11.16063980260642,-.5284222115790129,.0345909511694822,35.45410846116307,99.49802397024358,.3444207855784653
